idPersonne,Structure,Composante,Formation,Periode,code,Enseignement,FOAD,RegInsc,CM,TD
24, ,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M1 Humanités numériques Parcours Création et édition numériques",,DMA2EDA9 , Animation 2D et vidéo-,Non,"FI, FC, FA",15.00,15.00
25,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M1 Humanités numériques Parcours Création et édition numériques",,DMA1ED02 , Atelier texte animé et multimédia-,Non,"FI, FC, FA",15.00,15.00
25,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M1 Humanités numériques Parcours Création et édition numériques",,DMA2EDA4 , Participation critique 1-,Non,"FI, FC, FA",15.00,15.00
25,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"M1 Humanités numériques Parcours Numérique: Enjeux, technologies",,DMA2EDC8 , Données Web : méthodes et outils d'analyse et de gestion-,Non,"FI, FC, FA",15.00,15.00
25,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M2 Humanités numériques Parcours Analyse et Conception des environnements humains et numériques",,DMA3EDD7 , Conception universelle-,Non,"FI, FC, FA",15.00,15.00
25,UFR M.I.T.S.I.C.,ARTEC,"Enseignement mutualisé
M1 ArTeC Parcours : Les Nouveaux modes d'écriture et de publication",,4L8CN09P , MIP Grand format S8-,Non,"FI, FC, FA",0.00,15.00
26, ,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M1 Humanités numériques Parcours Création et édition numériques",,DMA1EDA8 , Atelier vidéo enrichie et compositing-,Non,"FI, FC, FA",15.00,15.00
27, ,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M2 Humanités numériques Parcours Création et édition numériques",,DMA3EDA4 , UX Design-,Non,"FI, FC, FA",15.00,15.00
28,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M1 Humanités numériques Parcours Gestion stratégique de l'information",,DMA1EDB3 , Indexation des documents et métadonnées-,Non,"FI, FC, FA",15.00,0.00
28,UFR M.I.T.S.I.C.,UFR M.I.T.S.I.C.,"Enseignement mutualisé
M2 Humanités numériques Parcours Gestion stratégique de l'information",,DMA3EDB9 , Veille stratégique et intelligence économique-,Non,"FI, FC, FA",9.00,21.00
