parcours,NBR_CRD_ELP,ECTS,Semestre,COD_ELP1,LIC_ELP1,LIB,remarques,HYBRIDE,LIC_NEL1,TEM_SUS_ELP1,NB_HEURE,NB_GROUPE,CM,TD,M1MGID,M1MCRE,M1MNET,M1MTRN,M1MMCP,M1DTDM,M1MACE,M2MGID,M2MCRE,M2MNET,M2MTRN,M2MMCP,M2MACE,M2DTDM,M1Nanterre,M2Nanterre,M1ERGO,M2ERGO,M1Info,M2CPI,M1Droit,M2Droit,SoSkilled,M1Aegean,M1LasPalmas,M2Aegean,M2LasPalmas,MIP
M1Nanterre,5,,,DME1ES11,Stage,Stage ,,,EC,N,6,1,0,100,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
M1Nanterre,3,,,DME1ET10,Langue vivante,Langue vivante,,,EC,N,24,1,0,100,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
M1Nanterre,3,,,DME2ED01,Collections & politiques,Collections et politiques d'acquisition,,,EC,N,24,1,50,50,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
M1Nanterre,3,,,DME2ED02,Hist ou histoire des arts,Histoire ou histoire des arts,,,EC,N,24,1,100,0,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
M1MMCP,2,,,DME2ED03,Média° C : formes & rôles,Médiation culturelle : formes et rôles,,,EC,N,12,1,100,0,,,,,,,,,,,,,,,12,,,,,,,,,,,,,
M1Nanterre,2,,,DME2ED04,Patrimoine & dév territ.,Patrimoine et développement des territoires,,,EC,N,24,1,50,50,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
M1Nanterre,2,,,DME2ET05,EC LIBRE,EC LIBRE,,,EC,N,30,1,50,50,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
M1Nanterre,2,,,DME2ED06,Politiques culturelles,Politiques culturelles,,,EC,N,12,1,50,50,,,,,12,,,,,,,,,,,,,,,,,,,,,,,
M1MMCP,2,,,DME2ED07,Traitement du document,Traitement du document,,,EC,N,24,1,0,100,,,,,,,,,,,,,,,24,,,,,,,,,,,,,
M1MMCP,2,,,DME2ED08,Traitement des images,Traitement des images,,,EC,N,24,1,0,100,,,,,,,,,,,,,,,24,,,,,,,,,,,,,
M1Nanterre,9,,,DME2ER10,Mémoire rapport de stage,Mémoire et rapport de stage,,,EC,N,6,1,0,100,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
M1MMCP,9,,,DME2ER10,Mémoire rapport de stage,Mémoire et rapport de stage,,,EC,N,6,1,0,100,,,,,,,,,,,,,,,6,,,,,,,,,,,,,
M1MMCP,3,,,DME2ET09,Langue vivante,Langue vivante,,,EC,N,24,1,0,100,,,,,,,,,,,,,,,24,,,,,,,,,,,,,
M2Nanterre,2,,,DME3ED01,Préservation & conservat°,Préservation et conservation des documents numériques,,,EC,N,12,1,100,0,,,,,,,,,,,,12,,,,,,,,,,,,,,,,
M2MMCP,3,,,DME3ED02,Hist ou histoire des arts,Histoire ou histoire des arts,,,EC,N,24,1,100,0,,,,,,,,,,,,,,,,24,,,,,,,,,,,,
M2MMCP,3,,,DME3ED03,Forme & rôle médiation N.,Forme et rôle de la médiation numérique,,,EC,N,24,1,100,0,,,,,,,,,,,,,,,,24,,,,,,,,,,,,
M2Nanterre,2,,,DME3ED04,Economie de la contribut°,Economie de la contribution,,,EC,N,12,1,100,0,,,,,,,,,,,,12,,,,,,,,,,,,,,,,
M2Nanterre,2,,,DME3ED05,Gestion orga. culturelles,Gestion des organisations culturelles,,,EC,N,12,1,100,0,,,,,,,,,,,,12,,,,,,,,,,,,,,,,
M2MMCP,2,,,DME3ED06,Politiques pub numérisat°,Politiques publiques de numérisation,,,EC,N,12,1,100,0,,,,,,,,,,,,,,,,12,,,,,,,,,,,,
M2MMCP,3,,,DME3ED07,Tech. visualisa° donnéés,Techniques de visualisation des données et interprétation,,,EC,N,24,1,50,50,,,,,,,,,,,,,,,,24,,,,,,,,,,,,
M2MMCP,3,,,DME3ED08,Atelier d'écriture num...,Atelier d'écriture numérique,,,EC,N,24,1,50,50,,,,,,,,,,,,,,,,24,,,,,,,,,,,,
M2MMCP,6,,,DME3ER10,Mémoire,Mémoire,,,EC,N,0,1,0,100,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
M2Nanterre,1,,,DME3ER11,Méthodo du mémoire,Méthodologie du mémoire,,,EC,N,5,1,0,100,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
M2MMCP,1,,,DME3ER11,Méthodo du mémoire,Méthodologie du mémoire,,,EC,N,5,1,0,100,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
M2Nanterre,3,,,DME3ET09,Langue vivante,Langue vivante,,,EC,N,24,1,0,100,,,,,,,,,,,,24,,,,,,,,,,,,,,,,
M2Nanterre,3,,,DME4ED01,Histoire des arts,Histoire des arts,,,EC,N,24,1,100,0,,,,,,,,,,,,24,,,,,,,,,,,,,,,,
M2MMCP,4,,,DME4ED02,Patrimoine & muséologie N,Patrimoine et muséologie numériques,,,EC,N,24,1,100,0,,,,,,,,,,,,,,,,24,,,,,,,,,,,,
M2Nanterre,2,,,DME4ED03,Méthodo analyse instit...,Méthodologie de l'analyse institutionnelle,,,EC,N,12,1,100,0,,,,,,,,,,,,12,,,,,,,,,,,,,,,,
M2MMCP,3,,,DME4ED04,Dispositifs numériques...,"Dispositifs numériques: théories, modèles et usages",,,EC,N,24,1,50,50,,,,,,,,,,,,,,,,24,,,,,,,,,,,,
M2MMCP,2,,,DME4EP05,Conduite de projet,Conduite de projet,,,EC,N,12,1,50,50,,,,,,,,,,,,,,,,12,,,,,,,,,,,,
M2Nanterre,1,,,DME4ER07,Méthodologie du mémoire,Méthodologie du mémoire,,,EC,N,5,1,0,100,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
M2MMCP,1,,,DME4ER07,Méthodologie du mémoire,Méthodologie du mémoire,,,EC,N,5,1,0,100,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
M2MMCP,13,,,DME4ER08,Mémoire et stage pro,Mémoire et stage professionnalisant ,,,EC,N,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MMCP,2,,,DME4ET06,Atelier-Laboratoire,Atelier-Laboratoire,,,EC,N,24,1,0,100,,,,,,,,,,,,,,,,24,,,,,,,,,,,,
SoSkilled,,,,DP8LEK20,Idéation autour de besoin,Initiation à la programmation no code : idéation autour de besoins personnels et co-construction de réponses numériques,,,EC,N,30,1,50,50,,,,30,,,,,,,,,,,,,,,,,,,,,,,,
M1Aegean,6,,,M1DTDM1,,Introduction to Digital and Intelligent Communication Tools ,,,EC,N,39,1,50,50,,,,,,39,,,,,,,,,,,,,,,,,,,,,,
M1DTDM,6,,,M1DTDM2,,Methodologies of Digital Thinking and Design ,,,EC,N,39,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,39,,,,
M1Aegean,6,,,M1DTDM3,,Introduction to No-Code Programming,,,EC,N,39,1,50,50,,,,,,39,,,,,,,,,,,,,,,,,,,,,,
M1DTDM,6,,,M1DTDM4,,Applications of Intelligent Systems (IA and ML),,,EC,N,39,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,39,,,,
M1DTDM,6,,,M1DTDM5,,Foreign Language ,,,EC,N,39,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,39,,,,
M1LasPalmas,6,,,M1DTDM6,,Network Economics ,,,EC,N,39,1,50,50,,,,,,39,,,,,,,,39,,,,,,,,,,39,,,,
M1Aegean,6,,,M1DTDM7,,Digital Foresight ,,,EC,N,39,1,50,50,,,,,,39,,,,,,,,,,,,,,,,,,,,,,
M1DTDM,6,,,M1DTDM8,,Digital Project Design and Management,,,EC,N,39,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,39,,,,
M2Aegean,6,,,M1DTDM9,,Digital Transformation Management ,,,EC,N,39,1,50,50,,,,,,,,,,,,,,39,,,,,,,,,,,,,,
M2Aegean,6,,,M1DTDM10,,Elective Course,,,EC,N,39,1,50,50,,,,,,,,,,,,,,39,,,,,,,,,,,,,,
M2Aegean,6,,,M2DTDM1,,Fundamental Rights in the Era of Digital and AI ,,,EC,N,39,1,50,50,,,,,,,,,,,,,,39,,,,,,,,,,,,,,
M2LasPalmas,6,,,M2DTDM2,,Information Economics and Digital Markets,,,EC,N,39,1,50,50,,,,,,,,,,,,,,39,,,,,,,,,,39,,,,
M2DTDM,6,,,M2DTDM3,,Data and Transaction Security ,,,EC,N,39,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,39,,
M2DTDM,6,,,M2DTDM4,,"Analysis, Management, Data Mining, and Visualisation of Big Data ",,,EC,N,39,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,39,,
M2DTDM,6,,,M2DTDM5,,Elective Course,,,EC,N,0,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,39,,
M1Info,3,,,DMB1ED10,Conférences Industrielles,,,,EC,N,30,1,50,50,,,,30,,,,,,,,,,,,,,,,,,,,,,,,
M1ERGO,3,,,DPA1EDO8,Techniques de créativité,Techniques de créativité et d’innovation,,,EC,N,30,1,50,50,,,,30,,,,,,,,,,,,,,,,,,,,,,,,
M1ERGO,3,,,DPA1ED06,Ana sys des Rces de l'act,Analyse des systèmes de ressources et de valeurs dans des perspectives de conception du numérique,,,EC,N,36,1,50,50,,,,36,,,,,,,,,,,,,,,,,,,,,,,,
M1Info,3,,,DMBinconnu1,"initiation à PHP, Python",,,,EC,N,30,1,50,50,,,,30,,,,,,,,,,,,,,,,,,,,,,,,
M1Info,3,,,DMBinconnu2,Introduction aux bases de données,,,,EC,N,30,1,50,50,,,,30,,,,,,,,,,,,,,,,,,,,,,,,
M2ERGO,3,,,DPA2inconnu1,Nouvelles formes d'organisation,Nouvelles formes d'organisation,,,EC,N,15,1,50,50,,,,,,,,,,,15,,,,,,,,,,,,,,,,,
M2ERGO,3,,,DPA2inconnu2,Ethnométhodologie et cours d'action,Ethnométhodologie et cours d'action,,,EC,N,18,1,50,50,,,,,,,,,,,18,,,,,,,,,,,,,,,,,
MIP,3,,,MIPinconnu1,Atelier de recherche ethnographique,,,,EC,N,18,1,50,50,,,,,,,,,,,30,,,,,,,,,,,,,,,,,
M2Droit,3,,,DBMinconnu3,Droit et éthique des données ,,,,EC,N,15,1,50,50,,,,,,,,,,,15,,,,,,,,,,,,,,,,,
M2CPI,3,,,CPIinconnu1,Droit de l’informatique,,,,EC,N,24,1,50,50,,,,,,,,,,,24,,,,,,,,,,,,,,,,,
M2MTRN,3,,,M2MTRNinconnu1,"Enjeux contemporains de l’éthique, du droit et de la normalisation technique à l’ère numérique",,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MTRN,3,,,M2MTRNinconnu1,Conduite de projet Legal Tech et participation aux conférences sectorielles,Conduite de projet Legal Tech et participation aux conférences sectorielles,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
