parcours,NBR_CRD_ELP,ECTS,Semestre,COD_ELP1,LIC_ELP1,LIB,remarques,HYBRIDE,LIC_NEL1,TEM_SUS_ELP1,NB_HEURE,NB_GROUPE,CM,TD,M1MGID,M1MCRE,M1MNET,M1MTRN,M1MMCP,M1DTDM,M1MACE,M2MGID,M2MCRE,M2MNET,M2MTRN,M2MMCP,M2MACE,M2DTDM,M1Nanterre,M2Nanterre,M1ERGO,M2ERGO,M1Info,M2CPI,M1Droit,M2Droit,SoSkilled,M1Aegean,M1LasPalmas,M2Aegean,M2LasPalmas,MIP
M1MTRN,3,,,DMA1EDE3,Initiation l'économie num,Initiation aux outils de communication numérique,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MTRN,3,,,DMA1EDE4,Veille et prospective,Veille et prospective,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MTRN,3,,,DMA1EDE5,Séminaire intensif,Séminaire intensif sur la conception et l’accompagnement des transitions numériques,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MTRN,3,,,DMA1EDE6,Droit fondamentaux,Droits fondamentaux à l'ère numérique ,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,3,,2,DMA2EDA1,Immersion et interaction,Immersion et interaction,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,3,,2,DMA2EDA2,Concep. & ges. projet num,Conception et gestion de projet numérique,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,3,,2,DMA2EDA3,After Effects,After Effects,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,4,,2,DMA2EDA4,Participation critique 1,Participation critique 1,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,4,,2,DMA2EDA5,Analyse critique,Analyse critique,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,4,,2,DMA2EDA6,Suivi dév. & intégration,Suivi développement et intégration,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,4,,2,DMA2EDA7,Direction artistique,Direction artistique,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,4,,2,DMA2EDA8,Interaction appliquée,Interaction appliquée,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
