,parcours,code,LIB,ECTS
97,M1MCRE,DMA1EDAB,Intégration : HTML / CSS ,3
98,M1MCRE,DMA1EDA9,Interaction 3D,3
99,M1MCRE,DMA2EDA8,Interaction appliquée,4
100,M1MCRE,DMA1EDA3,Introduction à la programmation,3
101,M1MGID,DMA1EDB1,Introduction aux sciences de l'information et de la communication,3
102,M1Aegean,M1DTDM1,Introduction to Digital and Intelligent Communication Tools ,6
103,M1Aegean,M1DTDM3,Introduction to No-Code Programming,6
104,M1MGID,DMA1EDB4,Langages documentaires et classifications,3
105,M1Nanterre,DME1ET10,Langue vivante,3
106,M1MMCP,DME2ET09,Langue vivante,3
107,M2Nanterre,DME3ET09,Langue vivante,3
108,M1MMCP,DME2ED03,Médiation culturelle : formes et rôles,2
109,M1Nanterre,DME1ED05,Médiation culturelle pour publics empêchés/pour spectacle vivant ,2
110,M2MMCP,DME3ER10,Mémoire,6
111,M1Nanterre,DME2ER10,Mémoire et rapport de stage,9
112,M1MMCP,DME2ER10,Mémoire et rapport de stage,9
113,M2MMCP,DME4ER08,Mémoire et stage professionnalisant ,13
114,M2MCRE,DMA4EDA5,Méthdologie de la recherche,9
115,M1MNET,DMA1EDC1,Méthodes de recherche quantitatives et qualitatives,6
116,M2MACE,DMA3EDD2,Méthodes et outils d’analyses statistiques et de fouille de données,6
117,M2Nanterre,DME4ED03,Méthodologie de l'analyse institutionnelle,2
118,M2Nanterre,DME3ER11,Méthodologie du mémoire,1
119,M2MMCP,DME3ER11,Méthodologie du mémoire,1
120,M2Nanterre,DME4ER07,Méthodologie du mémoire,1
121,M2MMCP,DME4ER07,Méthodologie du mémoire,1
122,M2MACE,DMA4EDD6,Méthodologie pour la conduite d'études,5
123,M2MGID,DMA4EDB3,Méthodologie scientifique en information-communication,10
124,M1DTDM,M1DTDM2,Methodologies of Digital Thinking and Design ,6
125,M2MGID,DMA3EDB8,Modèles de gestion de risques informationnels,4
126,M2MCRE,DMA3EDA3,Montage start up (grizz),5
127,M1LasPalmas,M1DTDM6,Network Economics ,6
128,M1MMCP,DME1ED04,Notions fondamentales de muséologie,2
129,M2ERGO,DPA2inconnu1,Nouvelles formes d'organisation,3
130,M1MNET,DMA2EDC3,Numérique en entreprise et management de l'information au sein des organisations ,3
131,M1MNET,DMA2EDC4,Numérique en ligne et nouvelle économie,3
132,M1Droit,DDinconnu2,Numérique et éthique,3
133,M1MCRE,DMA2EDA4,Participation critique 1,4
134,M2MNET,DMA4EDA2,Participation critique II,3
135,M2MNET,DMA3EDC2,Patrimoine augmenté,3
136,M1Nanterre,DME2ED04,Patrimoine et développement des territoires,2
137,M2MMCP,DME4ED02,Patrimoine et muséologie numériques,4
138,M1Nanterre,DME2ED06,Politiques culturelles,2
