parcours,ECTS,code,LIB,HYBRIDE,NB_HEURE,NB_GROUPE,CM,TD,M1MGID,M1MCRE,M1MNET,M1MTRN,M1MMCP,M1DTDM,M1MACE,M2MGID,M2MCRE,M2MNET,M2MTRN,M2MMCP,M2MACE,M2DTDM,M1Nanterre,M2Nanterre,M1ERGO,M2ERGO,M1Info,M2CPI,M1Droit,M2Droit,SoSkilled,M1Aegean,M1LasPalmas,M2Aegean,M2LasPalmas,MIP
M2MMCP,3,DME4ED04,"Dispositifs numériques: théories, modèles et usages",,24,1,50,50,,,,,,,,,,,,,,,,24,,,,,,,,,,,,
M1MNET,3,DMA2EDC8,Données Web : méthodes et outils d'analyse et de gestion,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1Nanterre,2,DME1ED06,Droit de la propriété artistique et littéraire,,12,1,100,0,,,,,12,,,,,,,,,,,,,,,,,,,,,,,
M1Droit,3,DDB2ED04,Droit du numérique,,30,1,50,50,,,,30,,,,,,,,,,,,,,,,,,,,,,,,
M1Droit,3,DDinconnu1,Droit du numérique et cybersécurité,,30,1,50,50,,,,30,,,,,,,,,,,,,,,,,,,,,,,,
M1Nanterre,2,DME1ED07,Droit du patrimoine,,12,1,100,0,,,,,12,,,,,,,,,,,,,,,,,,,,,,,
M1Nanterre,2,DME1ED08,Droit du patrimoine international,,12,1,100,0,,,,,12,,,,,,,,,,,,,,,,,,,,,,,
M1MTRN,3,DMA1EDE6,Droits fondamentaux à l'ère numérique ,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MCRE,5,DMA3EDA2,EC libre,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1Nanterre,2,DME2ET05,EC LIBRE,,30,1,50,50,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
M2Nanterre,2,DME3ED04,Economie de la contribution,,12,1,100,0,,,,,,,,,,,,12,,,,,,,,,,,,,,,,
M1MGID,3,DMA1EDA2,Economie et droit du numérique,,30,1,50,50,,,30,30,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,3,DMA1EDAA,Éditorialisation et strategie de contenu,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2Aegean,6,M1DTDM10,Elective Course,,39,1,50,50,,,,,,,,,,,,,,39,,,,,,,,,,,,,,
M2DTDM,6,M2DTDM5,Elective Course,,0,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,39,,
M1MNET,3,DMA2EDC5,Enjeux actuels du numérique,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,3,DMA3EDCE,Enjeux des technologies émergnentes et innovantes,,30,1,50,50,,,,,,,,,,,30,,,,,,,,,,,,,,,,,
M2MTRN,7,DMA4EDE1,Entreprendre en transition numérique,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,3,DMA3EDCB,Etat de la recherche et veille documentaire,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MACE,5,DMA4EDD4,Ethique du web et écosystèmes d'information,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,3,DMA3EDC3,Ethnographie du numérique/Digital Methods,,30,1,50,50,,,,,,,,,,,30,,,,,,,,,,,,,,,,,
M2ERGO,3,DPA2inconnu2,Ethnométhodologie et cours d'action,,18,1,50,50,,,,,,,,,,,18,,,,,,,,,,,,,,,,,
M2MGID,4,DMA4EDB1,Etude des controverses-datavisualisation et analyse des données,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MCRE,3,DMA4EDA3,Expression professionnelle en langue anglaise,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MNET,6,DMA1EDC5,Fondamentaux info-communicationnels et technologiques pour le Web et les réseaux sociaux ,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1DTDM,6,M1DTDM5,Foreign Language ,,39,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,39,,,,
M2MMCP,3,DME3ED03,Forme et rôle de la médiation numérique,,24,1,100,0,,,,,,,,,,,,,,,,24,,,,,,,,,,,,
M2Aegean,6,M2DTDM1,Fundamental Rights in the Era of Digital and AI ,,39,1,50,50,,,,,,,,,,,,,,39,,,,,,,,,,,,,,
M1MGID,3,DMA2EDB1,Gestion d’un service info-documentaire,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MGID,4,DMA1EDB2,Gestion de projet en ingénierie documentaire,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MGID,4,DMA3EDB7,Gestion de projet en transformation numérique,,30,1,70,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MGID,4,DMA3EDB3,Gestion des connaissances,,20,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MGID,3,DMA2EDB6,Gestion des contenus,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MGID,3,DMA3EDB4,Gestion des données et des documents en entreprise,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2Nanterre,2,DME3ED05,Gestion des organisations culturelles,,12,1,100,0,,,,,,,,,,,,12,,,,,,,,,,,,,,,,
M1MGID,3,DMA2EDB5,Gestion électronique des documents (GED),,24,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MGID,3,DMA3EDBA,Gestion stratégique de l'information,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,3,DMA1EDAC,Graphisme et ergonomie d'interfaces,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2Nanterre,3,DME4ED01,Histoire des arts,,24,1,100,0,,,,,,,,,,,,24,,,,,,,,,,,,,,,,
M1MMCP,3,DME1ED01,Histoire et théorie du patrimoine,,12,1,100,0,,,,,,,,,,,,,,,12,,,,,,,,,,,,,
M1Nanterre,3,DME1ED01,Histoire et théorie du patrimoine,,12,1,100,0,,,,,12,,,,,,,,,,,,,,,,,,,,,,,
M1Nanterre,3,DME1ED02,Histoire ou histoire des arts,,24,1,100,0,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
M1Nanterre,3,DME2ED02,Histoire ou histoire des arts,,24,1,100,0,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
M2MMCP,3,DME3ED02,Histoire ou histoire des arts,,24,1,100,0,,,,,,,,,,,,,,,,24,,,,,,,,,,,,
M1MNET,3,DMA2EDC2,Hypermédia et web sémantique,,30,1,50,50,,,,30,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,3,DMA2EDA1,Immersion et interaction,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MGID,2,DMA1EDB3,Indexation des documents et métadonnées,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2LasPalmas,6,M2DTDM2,Information Economics and Digital Markets,,39,1,50,50,,,,,,,,,,,,,,39,,,,,,,,,,39,,,,
M1MMCP,2,DME1ED09,Informatiques et réseaux,,24,1,0,100,,,,,,,,,,,,,,,24,,,,,,,,,,,,,
SoSkilled,,DP8LEK20,Initiation à la programmation no code : idéation autour de besoins personnels et co-construction de réponses numériques,,30,1,50,50,,,,30,,,,,,,,,,,,,,,,,,,,,,,,
M2MGID,3,DMA3EDB1,Initiation à la recherche,,15,1,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MTRN,3,DMA1EDE1,Initiation aux outils de communication numérique,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MTRN,3,DMA1EDE3,Initiation aux outils de communication numérique,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,3,DMA1EDAB,Intégration : HTML / CSS ,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,3,DMA1EDA9,Interaction 3D,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,4,DMA2EDA8,Interaction appliquée,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,3,DMA1EDA3,Introduction à la programmation,,15,1,50,50,,,30,30,,,,,,,,,,,,,,,,,,,,,,,,
M1MGID,3,DMA1EDB1,Introduction aux sciences de l'information et de la communication,,21,1,100,0,,,,21,,,,,,,,,,,,,,,,,,,,,,,,
M1Aegean,6,M1DTDM1,Introduction to Digital and Intelligent Communication Tools ,,39,1,50,50,,,,,,39,,,,,,,,,,,,,,,,,,,,,,
M1Aegean,6,M1DTDM3,Introduction to No-Code Programming,,39,1,50,50,,,,,,39,,,,,,,,,,,,,,,,,,,,,,
M1MGID,3,DMA1EDB4,Langages documentaires et classifications,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1Nanterre,3,DME1ET10,Langue vivante,,24,1,0,100,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
M1MMCP,3,DME2ET09,Langue vivante,,24,1,0,100,,,,,,,,,,,,,,,24,,,,,,,,,,,,,
M2Nanterre,3,DME3ET09,Langue vivante,,24,1,0,100,,,,,,,,,,,,24,,,,,,,,,,,,,,,,
M1MMCP,2,DME2ED03,Médiation culturelle : formes et rôles,,12,1,100,0,,,,,,,,,,,,,,,12,,,,,,,,,,,,,
M1Nanterre,2,DME1ED05,Médiation culturelle pour publics empêchés/pour spectacle vivant ,,24,1,100,0,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
M2MMCP,6,DME3ER10,Mémoire,,0,1,0,100,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
M1Nanterre,9,DME2ER10,Mémoire et rapport de stage,,6,1,0,100,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
M1MMCP,9,DME2ER10,Mémoire et rapport de stage,,6,1,0,100,,,,,,,,,,,,,,,6,,,,,,,,,,,,,
M2MMCP,13,DME4ER08,Mémoire et stage professionnalisant ,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MCRE,9,DMA4EDA5,Méthdologie de la recherche,,30,1,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MNET,6,DMA1EDC1,Méthodes de recherche quantitatives et qualitatives,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MACE,6,DMA3EDD2,Méthodes et outils d’analyses statistiques et de fouille de données,,21,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2Nanterre,2,DME4ED03,Méthodologie de l'analyse institutionnelle,,12,1,100,0,,,,,,,,,,,,12,,,,,,,,,,,,,,,,
M2Nanterre,1,DME3ER11,Méthodologie du mémoire,,5,1,0,100,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
M2MMCP,1,DME3ER11,Méthodologie du mémoire,,5,1,0,100,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
M2Nanterre,1,DME4ER07,Méthodologie du mémoire,,5,1,0,100,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
M2MMCP,1,DME4ER07,Méthodologie du mémoire,,5,1,0,100,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
M2MACE,5,DMA4EDD6,Méthodologie pour la conduite d'études,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MGID,10,DMA4EDB3,Méthodologie scientifique en information-communication,,15,1,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1DTDM,6,M1DTDM2,Methodologies of Digital Thinking and Design ,,39,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,39,,,,
M2MGID,4,DMA3EDB8,Modèles de gestion de risques informationnels,,30,1,30,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MCRE,5,DMA3EDA3,Montage start up (grizz),,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1LasPalmas,6,M1DTDM6,Network Economics ,,39,1,50,50,,,,,,39,,,,,,,,39,,,,,,,,,,39,,,,
M1MMCP,2,DME1ED04,Notions fondamentales de muséologie,,12,1,100,0,,,,,,,,,,,,,,,12,,,,,,,,,,,,,
M2ERGO,3,DPA2inconnu1,Nouvelles formes d'organisation,,15,1,50,50,,,,,,,,,,,15,,,,,,,,,,,,,,,,,
M1MNET,3,DMA2EDC3,Numérique en entreprise et management de l'information au sein des organisations ,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MNET,3,DMA2EDC4,Numérique en ligne et nouvelle économie,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1Droit,3,DDinconnu2,Numérique et éthique,,30,1,50,50,,,,30,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,4,DMA2EDA4,Participation critique 1,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,3,DMA4EDA2,Participation critique II,,30,1,50,50,,,,,,,,,,30,,,30,,,,,,,,,,,,,,,
M2MNET,3,DMA3EDC2,Patrimoine augmenté,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1Nanterre,2,DME2ED04,Patrimoine et développement des territoires,,24,1,50,50,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
M2MMCP,4,DME4ED02,Patrimoine et muséologie numériques,,24,1,100,0,,,,,,,,,,,,,,,,24,,,,,,,,,,,,
M1Nanterre,2,DME2ED06,Politiques culturelles,,12,1,50,50,,,,,12,,,,,,,,,,,,,,,,,,,,,,,
M2MMCP,2,DME3ED06,Politiques publiques de numérisation,,12,1,100,0,,,,,,,,,,,,,,,,12,,,,,,,,,,,,
M2MGID,2,DMA3EDB2,Pratiques info communicationnelles,,15,1,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2Nanterre,2,DME3ED01,Préservation et conservation des documents numériques,,12,1,100,0,,,,,,,,,,,,12,,,,,,,,,,,,,,,,
M1MTRN,3,DMA1EDE2,Production collective interspécialisation sur les transitions numériques,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MTRN,7,DMA2EDE1,Production collective interspécialisation sur les transitions numériques,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MTRN,7,DMA4EDE2,Production collective interspécialisation sur les transitions numériques partie 2,,30,1,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MNET,6,DMA1EDC3,Programmation de systèmes d’information,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MACE,3,DMA4EDD2,Projet collaboratif tutoré,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,3,DMA3EDC4,Prospectives numériques,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MNET,9,DMA2EDC7,Rapport de stage / apprentissage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MGID,2,DMA2EDB3,Records management,,20,1,30,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MTRN,3,DMA1EDE5,Séminaire intensif sur la conception et l’accompagnement des transitions numériques,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MTRN,6,DMA3EDE2,Séminaire intensif sur la conception et l’accompagnement des transitions numériques,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
